Price Date,Close Price
11-05-2020,682.9
08-05-2020,674.2
07-05-2020,664.95
06-05-2020,665.9
05-05-2020,673.7
04-05-2020,673.7
30-04-2020,715.5
29-04-2020,676.55
28-04-2020,660.7
27-04-2020,664.6
24-04-2020,658
23-04-2020,679.3
22-04-2020,641.85
21-04-2020,633.2
20-04-2020,653.3
17-04-2020,628.75
16-04-2020,623.85
15-04-2020,639.05
13-04-2020,637.4
09-04-2020,636.25
08-04-2020,631.6
07-04-2020,639
03-04-2020,585.7
01-04-2020,602.8
31-03-2020,641.5
30-03-2020,626.7
27-03-2020,652.7
26-03-2020,643
25-03-2020,606.2
24-03-2020,589.8
23-03-2020,526.45
20-03-2020,585.2
19-03-2020,545.55
18-03-2020,534.3
17-03-2020,554.95
16-03-2020,583.15
13-03-2020,642.35
12-03-2020,631.2
11-03-2020,686
09-03-2020,704.45
06-03-2020,738.95
05-03-2020,754.6
04-03-2020,758.75
03-03-2020,747
02-03-2020,741.05
28-02-2020,731.7
27-02-2020,777.85
26-02-2020,782.75
25-02-2020,798.4
24-02-2020,795.85
20-02-2020,797
19-02-2020,800.45
18-02-2020,797.65
17-02-2020,789.45
14-02-2020,786.45
13-02-2020,792.25
12-02-2020,781.05
11-02-2020,773.55
10-02-2020,773.2
07-02-2020,777.3
06-02-2020,771.35
05-02-2020,784.55
04-02-2020,787.85
03-02-2020,767.4
01-02-2020,779.5
31-01-2020,775.95
30-01-2020,780.7
29-01-2020,789.7
28-01-2020,778
27-01-2020,778.1
24-01-2020,782.75
23-01-2020,784.35
22-01-2020,770.2
21-01-2020,762.5
20-01-2020,768.45
17-01-2020,767.85
16-01-2020,767
15-01-2020,767.55
14-01-2020,775.65
13-01-2020,773.55
10-01-2020,738.15
09-01-2020,727.55
08-01-2020,718.2
07-01-2020,727.9
06-01-2020,738.85
03-01-2020,746
02-01-2020,734.7
01-01-2020,736.85
31-12-2019,731.15
30-12-2019,732.9
27-12-2019,736.95
26-12-2019,728.95
24-12-2019,733.4
23-12-2019,736
20-12-2019,731.55
19-12-2019,730.85
18-12-2019,732.45
17-12-2019,729.7
16-12-2019,714
13-12-2019,711.3
12-12-2019,702.1
11-12-2019,721.05
10-12-2019,714.55
09-12-2019,717.25
06-12-2019,715.1
05-12-2019,714.85
04-12-2019,708.85
03-12-2019,698.35
02-12-2019,692.7
29-11-2019,696.35
28-11-2019,701.85
27-11-2019,695.75
26-11-2019,690.6
25-11-2019,698.1
22-11-2019,693.2
21-11-2019,713.25
20-11-2019,713
19-11-2019,712.85
18-11-2019,705.2
15-11-2019,703.9
14-11-2019,705.3
13-11-2019,691.35
11-11-2019,704.4
08-11-2019,708.15
07-11-2019,720.1
06-11-2019,712.3
05-11-2019,696.1
04-11-2019,709
01-11-2019,687.9
31-10-2019,685.6
30-10-2019,660.6
29-10-2019,650.65
27-10-2019,648.85
25-10-2019,637.45
24-10-2019,635.35
23-10-2019,650.6
22-10-2019,643.55
18-10-2019,767.85
17-10-2019,769.5
16-10-2019,771.45
15-10-2019,768.3
14-10-2019,786.1
11-10-2019,814.8
10-10-2019,783.05
09-10-2019,783.65
07-10-2019,789.55
04-10-2019,793.45
03-10-2019,785.6
01-10-2019,793.55
30-09-2019,805.65
27-09-2019,782.2
26-09-2019,782.55
25-09-2019,792.65
24-09-2019,794.05
23-09-2019,764.35
20-09-2019,805
19-09-2019,820.7
18-09-2019,829.85
17-09-2019,831.25
16-09-2019,827.7
13-09-2019,829.3
12-09-2019,816.4
11-09-2019,820.1
09-09-2019,829.1
06-09-2019,840.15
05-09-2019,834.05
04-09-2019,821.3
03-09-2019,814.25
30-08-2019,814.9
29-08-2019,806.95
28-08-2019,802.5
27-08-2019,784.65
26-08-2019,802.55
23-08-2019,802.2
22-08-2019,795.7
21-08-2019,799.45
20-08-2019,792.75
19-08-2019,777.65
